price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
2.15,72,3.0,0.0,4091.0,2011.0,1.0,0
0.6,92,4.0,0.0,4876.0,1972.0,0.0,0
3.26,97,3.0,0.0,2847.0,1931.0,0.0,1
1.9,48,1.0,0.0,3442.0,1993.0,1.0,1
2.63,67,3.0,0.0,4003.0,2004.0,0.0,0
1.625,79,3.0,0.0,4520.0,1964.0,0.0,1
0.7,91,3.0,0.0,7214.0,1993.0,1.0,1
1.025,45,2.0,0.0,4186.0,1944.0,0.0,0
2.7199999999999998,26,1.0,0.0,1137.0,1932.0,1.0,1
2.8,77,3.0,0.0,3918.0,1978.0,0.0,1
0.482,65,2.0,0.0,3410.0,1974.0,0.0,1
1.805,80,3.0,0.0,4439.0,1985.0,1.0,1
0.675,90,4.0,0.0,4786.0,1954.0,0.0,0
2.295,33,1.0,0.0,1798.0,2012.0,0.0,1
1.275,77,3.0,0.0,4651.0,1957.0,0.0,1
0.65,49,2.0,0.0,3948.0,1947.0,0.0,0
0.87,77,3.0,0.0,4235.0,1970.0,0.0,0
3.09,77,3.0,0.0,5089.0,1988.0,1.0,1
1.44,42,2.0,0.0,3525.0,1994.0,1.0,1
1.325,84,3.0,0.0,3954.0,1965.0,0.0,0
2.44,55,2.0,0.0,4159.0,1951.0,0.0,1
0.4,75,3.0,0.0,4451.0,1960.0,0.0,1
2.45,41,2.0,0.0,2290.0,1939.0,0.0,1
1.2,103,4.0,0.0,4185.0,1972.0,0.0,0
1.71,44,1.0,0.0,2330.0,1947.0,0.0,0
1.4300000000000002,100,3.0,0.0,6258.0,2002.0,1.0,1
0.88,27,1.0,0.0,2888.0,,,1
1.2550000000000001,140,4.0,0.0,3823.0,1981.0,,0
3.465,109,6.0,0.0,4506.0,1929.0,,1
2.2,102,4.0,0.0,4246.0,1931.0,0.0,1
0.51,69,2.0,0.0,3179.0,1947.0,0.0,0
1.1400000000000001,88,4.0,0.0,5454.0,1992.0,0.0,0
1.6,70,2.0,0.0,3177.0,1973.0,0.0,0
4.6,49,2.0,0.0,2966.0,1911.0,1.0,1
8.09,89,4.0,0.0,3517.0,1909.0,1.0,1
1.105,92,3.0,0.0,4029.0,1975.0,0.0,1
0.83,56,2.0,0.0,3075.0,1962.0,0.0,0
3.32,65,2.0,0.0,3025.0,1992.0,1.0,1
2.175,27,1.0,0.0,1522.0,1938.0,1.0,1
4.2700000000000005,145,4.0,0.0,7460.0,2009.0,0.0,1
1.65,99,4.0,0.0,5478.0,1965.0,0.0,0
0.45,79,3.0,0.0,4507.0,1969.0,0.0,0
3.1700000000000004,106,5.0,0.0,5730.0,1965.0,1.0,1
5.075,61,3.0,0.0,3266.0,1931.0,1.0,1
1.41,24,1.0,0.0,2093.0,1933.0,0.0,1
5.12,98,3.0,0.0,4099.0,1920.0,1.0,1
1.255,31,1.0,0.0,2054.0,2014.0,1.0,0
2.21,74,3.0,0.0,3894.0,1951.0,0.0,1
2.05,71,3.0,0.0,4058.0,1961.0,1.0,1
0.865,89,3.0,0.0,5653.0,1988.0,0.0,1
1.85,73,3.0,0.0,4037.0,1964.0,0.0,1
3.825,64,2.0,0.0,4088.0,1947.0,0.0,1
0.13,51,2.0,0.0,3458.0,1946.0,0.0,0
1.85,25,1.0,0.0,1811.0,1960.0,0.0,1
1.2,66,3.0,0.0,3546.0,1960.0,0.0,1
1.3,81,3.0,0.0,4400.0,1973.0,0.0,1
0.9950000000000001,96,3.0,0.0,6161.0,,,1
3.15,49,2.0,0.0,2788.0,1936.0,0.0,1
0.905,64,2.0,0.0,4026.0,1939.0,0.0,0
3.6,39,2.0,0.0,1326.0,1997.0,1.0,1
0.83,56,2.0,0.0,2435.0,1968.0,0.0,0
